제목,리뷰,평점
어벤져스: 엔드게임,마블영화 팬이 아니어도 이 영화의 피날레가 뭉클했다 ,10
어벤져스: 엔드게임,그 많은 히어로들을 가지고 3시간을 이렇게 풀어내는군요!!대단합니다!!정말 잼있게 봤어요 ,10
어벤져스: 엔드게임,역대급인 건 확실하네용 ,10
어벤져스: 엔드게임,팬심에 10점주지만 개인적으로 내용이 아쉬웠음.. 예고편에 아이언맨 심각한상황처럼 그려놓고는 캡틴마블이 아무렇지않게 구해주고 현재 타노스 너무쉽게 죽고.. 10년마무리다보니 타노스vs어벤져스가 아닌 각 케릭터역사와 앞으로 떡밥들의 이야기같았음 ,10
어벤져스: 엔드게임,충실한 마무리 입니다. 다시 보고 싶을 정도에요! ,10
어벤져스: 엔드게임,"이 조합으로라면 두번 다시 볼수 없을 겁니다. 그러니 꼭 보셨으면 좋겠습니다. 많이 아쉽네요. 배우들이 끌어내준 히어로, 그들을 알게 되었다는 점이 가장 행복하고 즐거웠습니다. 몇 번이고 돌려보고 싶을 것 같아요. ",10
어벤져스: 엔드게임,조금 길어 다소 지루하기도 했지만 재밋었어욜 ,9
어벤져스: 엔드게임,"아이맥스로 보세요, 두번보세요!! ",10
어벤져스: 엔드게임,와씨.. 진짜 울뻔.... ,10
어벤져스: 엔드게임,엑스맨 1세대의 마지막을 그렸던 영화 로건에서의 먹먹함이 떠올랐다. 한 시대의 끝은 늘 슬프지만 쓸쓸하진 않다. 희망이 공존하기 때문이다. 마블을 이끌었던 영웅들의 장렬한 퇴장에 눈물보다는 갈채를. ,10
어벤져스: 엔드게임,11시15분거 보고나옴 인피니티워에 비하면 ,7
뽀로로 극장판 보물섬 대모험,너라면 반이 먼지가 되는 일을 막는거 정도는 식은죽 먹기지? ,1
어벤져스: 엔드게임,뭔가 슬프고 찡했던 어벤져스~♡ ,10
어벤져스: 엔드게임,와  이번 너무 여운이 남았다.. ,10
어벤져스: 엔드게임,3시간 금방 갑니다. 3000만큼 사랑해 ,10
어벤져스: 엔드게임,아임...아이언맨. ,10
어벤져스: 엔드게임,토르살이 너무쪘네요 ㅋ ,8
헬보이,화려하고 훌륭한 디테일의 다채로운 세트장이 좋았다. ,8
캡틴 마블,엔드게임전에 잘본듯근데 재미없는건 맞는듯 ,5
어벤져스: 엔드게임,11년동안 행복했어요 ㅠㅠ ,10
어벤져스: 엔드게임,어벤져스엔드게임 잼썼어요 ,10
어벤져스: 엔드게임,마지막 전투 장면에서 울컥함ㅠㅠ ,10
어벤져스: 엔드게임,스포 당하기 전에 보고 왔습니다 아이맥스만 기다립니다 ,10
어벤져스: 엔드게임,개노잼 도대체 평점9.5점찍은 개돼지들은뭐지? ,1
어벤져스: 엔드게임,안보면 후회함 리얼재밌음 ,10
어벤져스: 엔드게임,마블 3천만큼 사랑합니다 ,10
어벤져스: 엔드게임,저세상퀼리티 지렷다 지렷어~ ,10
어벤져스: 엔드게임,녹은 아이스크림 같은 모습도 사랑스러워 또르 ,10
언더월드 2 - 에볼루션,재밌게봤다.  훌륭한 2편 ,8
언더월드 2 - 에볼루션,재밌게봤다.  훌륭한 2편 ,8
라스트 에어벤더,마이너스 기능도 넣어주세요 ,1
어벤져스: 엔드게임,내인생최고의 영화 마블역사의 집대성 ,10
어벤져스: 엔드게임,팬이나 지금까지 봐온 모든사람이 원하는 걸 정확하게 그려준작품 ,10
어벤져스: 엔드게임,눈물나는 히로어로물 ㅎㅎ ,6
어벤져스: 엔드게임,3000천만큼 재밌었다 ,10
어벤져스: 엔드게임,어벤져스!!! 어셈블 ,10
어벤져스: 엔드게임,아이언맨...ㅜㅜ... ,10
어벤져스: 엔드게임,언니 사랑해요 스칼렛 나타샤 페퍼 캡마...언니들 다 사랑해 피터파커....누나가 애낀다 다들3000만큼 사랑헌다.... ,10
어벤져스: 엔드게임,나도3000만큼사랑해 ,10
어벤져스: 엔드게임,나의 20대는 마블 덕분에 행복했다. ,10
어벤져스: 엔드게임,이건 진짜 이전 이야기모르면 별 재미없을듯 ,10
어벤져스: 엔드게임,기대치에는 못미치네요. 작품성으로 따지면 인피니티워가 더 나아요. 허나 마블영화 시리즈 마지막 총출동이라는점에 큰점수를 줬습니다... ,8
어벤져스: 엔드게임,굿바이 어벤저스...굿바이 토니...ㅠㅜ ,10
어벤져스: 엔드게임,그냥 이거 안보면 아니됨 ㄹㅇ 진짜 ,10
살인의 추억,이게 영화다!!!!마지막 장면은 정말 여운이 오래 가네요!!! ,10
어벤져스: 엔드게임,마블의 1막을 완벽하게 마무리한거 같습니다. 그러나 캡틴마블 역할의 의미와 전투중 뜬금없는 여자히어로끼리뭉쳐서 싸우는 샷은 마블의 앞으로의 방향성을 의심해보며 만점이 아닌 9점 드립니다. Thanks to captain america & ironman ,9
어벤져스: 엔드게임,마블 안좋아해서 어벤져스 처음 봤는데 시즌1부터 정주행하려고요 !! ,10
어벤져스: 엔드게임,불꽃원 엄청 많이 생길때 소름 ,10
어벤져스: 엔드게임,끝은 또다른 시작일거라 믿습니다 ,10
어벤져스: 엔드게임,인피니트워에 비하면 정말  별로~~~ ,1
어벤져스: 엔드게임,감동과 눈물의 마지막장 ,10
어벤져스: 엔드게임,다음 후속편 아스가디언즈 오브 갤럭시 기대 하겠습니다 ,10
어벤져스: 엔드게임,이 정도 퀄리티의 장편 시리즈 또 언제 볼 수 있을까 ,8
어벤져스: 엔드게임,고마워요 이런 즐거운 코믹스 히어로무비 만들어줘서 ,10
이웃사람,반은범죄반은코미디영화임 보면앎 ,10
어벤져스: 엔드게임,시간 순삭 3시간 금방 가요 ,10
어벤져스: 엔드게임,아이언맨으로 시작해서 아이언맨으로 끝나내 ,10
어벤져스: 엔드게임,솔직히 이번편은 역대급 망작입니다. 실망이네요. ,2
어벤져스: 엔드게임,상영시간 3시간이 안 아까운 영화. ,10
어벤져스: 엔드게임,그동안 각각에 캐릭터 영화들을 다봤기 때문에 정말 감동적으로 재밌게 봄 ,10
어벤져스: 엔드게임,좋다 매우좋다 아주좋다 ,10
어벤져스: 엔드게임,3001만큼 사랑합니다 ,10
어벤져스: 엔드게임,마블의 10년 앞으로의 10년 ,10
어벤져스: 엔드게임,앤트맨과와스프 중간쯤보고 캡틴마블 잘모르고 엔드게임 봤는데요~! 엔드게임 보시고 앤트맨과 와스프 보셔도 재밌네요~! 어벤져스 영웅들을  제대로 볼 수 있는 영화~! 이제까지 나왔던 어벤저스 영화 등장 인물들이 쎄게 와닿는 영화. 3000만큼 더 볼래요 ,10
뽀로로 극장판 보물섬 대모험,역시 초통령이네여.재밌었어요.뽀로로 ,10
어벤져스: 엔드게임,아이엠아이언맨맴맴앙 ,10
어벤져스: 엔드게임,종합선물세트네요 ㅋㅋㅋ ,8
어벤져스: 엔드게임,Whatever it takes! ,10
어벤져스: 엔드게임,안울려고했는데 울었어요 히어로들을 떠나보내는 느낌이 들이서 아쉽고 많은 감정들이 오네요ㅜ ,10
어스,기대한 만큼 즐겁게 감상했어요. ,10
어벤져스: 엔드게임,가나다라마바사아자차카타파하 ,10
어벤져스: 엔드게임,말이 필요없다 역대급이다. 최고 ,10
어벤져스: 엔드게임,여기서 끝나서 더 명작인것 같다..더 끌었으면 이상해졌을 듯. ,10
어벤져스: 엔드게임,정말 최고의 영화 Avengers Assemble!! ,10
어벤져스: 엔드게임,어벤져스는 끝이났지만 희어로들의 이야기는 계속나와서 앞으로도 볼수있겠죠 기대합니다!! ㅋㅋ 재미잇엇어요!! ,10
아이언맨,"아이언맨 첨보고 와 이거머지? 미치게 넘재밌는데?? 한게 엊그제같은데.,...ㅜㅜㅜ벌써 12년전....,ㅜㅜ ",10
어벤져스: 엔드게임,대서사시의 마무리 덧없이 깔끔하다. ,10
어벤져스: 엔드게임,울면서 봤다 오늘 남은 시간동안 계속생각날것같다 ,10
어벤져스: 엔드게임,그간 수고하셨습니다. ,10
레지던트 이블 5 : 최후의 심판 3D,나름 어울리는 결말이다 ,8
크게 될 놈,잔잔하니 어머니의 무조건 적인 사랑과아들윽 철없음  아들의 뒤늦은 후회 좋은 영화 관람했습니다 ,8
헬보이,영화는 봤는데...기억이 잘 안나네 ㅋ.... ,7
점박이 한반도의 공룡2 : 새로운 낙원,내용좋고 아이가 좋아하네요 ,10
어벤져스: 엔드게임,3000만큼재미있어요 ,10
어벤져스: 엔드게임,고맙다.나의 30대를 채워줘서 ,10
어벤져스: 엔드게임,3시간 짜리 너무길어서 집중력이떨어지지않을까 걱정햏는데..얼마나 몰입도가 좋은지 3시간이 마법처럼 사라졌다 ,10
어벤져스: 엔드게임,두 번  울었다  ㅠ_ㅠ 어흑 ㅠ ,10
어벤져스: 엔드게임,3000만큼 사랑했어요. ,10
스플라이스,이영화가 재밌거나 인상적이라면 자기 취향에 대해서 의심을 가져 볼 필요가 있다 ,1
어벤져스: 엔드게임,아이언맨에서 시작한 영화. 아이언맨으로 끝남. 스파이더맨을 마지막으로 더이상 마블쪽은 안보게 될듯. ,10
어벤져스: 엔드게임,캡틴이랑 퍼기 이영화에서라도 해피엔딩이여서 좋았네요눈물 ㅜ ,10
어벤져스: 엔드게임,3시간 내내 긴장감을 놓칠수 없었습니다!! ,10
생일,너무마음이아픈 그래눈물이멈추지않은꼭보고 잊지말아야할 영화입니다 ,9
어벤져스: 엔드게임,아이언맨 ㅜㅜ 굿바이 어벤져스~ ,9
어벤져스: 엔드게임,내청춘을 함께한건 두가지 였다 무한도전과 마블 ,10
샤잠!,완전최고였어요진짜안봤으면후회할뻔했어요 ,10
피도 눈물도 없이,없던 남혐도 생길것같다 ,1
어벤져스: 엔드게임,샘이 전화오고 블랙팬서 등장한 순간 숨멎했던 사람...나만인가? ,10
어벤져스: 엔드게임,떄려부수는 내용에 집중한 영화가 아닙니다.마블의 대서사시를 아름답게 마무리짓는 영화입니다. ,10
어벤져스: 엔드게임,내 10대와 20대까지 어벤져스였다 ,10
어벤져스: 엔드게임,3000만큼 재밌었습니다 ,10
해어화,그러니까 남자가 나쁘게 나오는 영화라 명작이라는 건가?ㄱㅋㅋ ,2
어벤져스: 엔드게임,정말 소름끼쳐요 생각만하면 ,10
어벤져스: 엔드게임,"역시마블,,10년동안 같이 큰 영화 ",10
어벤져스: 엔드게임,액숀 히어로 영화보다가 첨 울어봐따..그냥 최고다.. ,10
어벤져스: 엔드게임,스칼렛요한슨은 진심 너무 예뻤고 캡틴은 진짜 멋졌고 호크아이 너무 반가웠고 헐크랑 토르 너무 귀여웠고 아이언맨은 위대했다 Love You 3000 ,10
어벤져스: 엔드게임,아름다웠던 한 시대의 끝. 마블 팬들을 위한 최고의 마무리. ,10
어벤져스: 엔드게임,앤트맨이만난 자전거타는아이가?마지막에도 나오는대 다들보션는지몰라?미래에 아이언맨? ,8
어벤져스: 엔드게임,3000만큼 사랑해~ ,10
더 페이버릿: 여왕의 여자,"화려한 미장센은 시네필을 흥분시킨다. 인간의 욕망을 주제로 하여 딱히 심오한 내용은 아니지만 서양사를 모르면 이해하는데 한계가 있다. 올리비아 콜맨은 물론, 레이첼 와이즈, 엠마 스톤, 니콜라스 홀트의 사극 연기를 보는 것 역시 흥미롭다. ",8
어벤져스: 엔드게임,최고였다 아름답게 마무리 한 것 같았고 마지막 20분~30분?가량은 멋있고 감동적이고 최고였다 하지만 역시 아쉬움은 남는다 캡틴의 결말과 토르.. 하.. 진정 토르한테 그러셨어야 했나요 ... ,10
골든슬럼버,재미도 감동도 없음 그냥 졸리기만 함ㅜㅜ ,2
명당,"영화속에 녹아있는 악령과 저주가 보인다. 오, 하느님! 영화감독과 작가들에게 신선함과 축복을 내려주소서.  이왕  주실거라면 말입니다. ",4
어벤져스: 엔드게임,눈물나게 봤네요. 마지막에 모두 돌아왔을땐 그리고 죽은이들을 추모할땐 너무 슬펐어요. 하지만 살아있는 이들이 앞으로 어떤 일들을 해 나갈지 기대도 되네요. 완전 강추. ,10
어벤져스: 엔드게임,그 얘긴 안할래 하지만 나는 하고싶다 ㅠㅠㅠㅠ ,10
마약왕,영화자체는 재미있고 시간가는즐 몰랐으나 다소약힌 결말이 아쉬운작픔 객각적으로 별 5개중에 3개반정도 안보신분에겐 강추는아니여도 그냥볼만하다고 말하고싶은 영화 ,6
어벤져스: 엔드게임,"인생영화,, ㅠ 3000만큼 사랑해 ",10
어벤져스: 엔드게임,보다 울었다...3000만큼 사랑해ㅠ ,10
생일,다시한번생각하는계기가됐어요 ,7
어벤져스: 엔드게임,평범하게 재밌겠지하고 보러갔는데 생각보다 더 재밌게 봄 스케일도 크고 유머랑 감동도 있어요 ,10
어벤져스: 엔드게임,3000퍼센트 만큼 따당해~ ,10
캡틴 마블,논란이 있었다는데 생각보다 볼만했다! ,7
어벤져스: 엔드게임,10년간 덕분에 행복했어요.. ,10
어벤져스: 엔드게임,I'm Iron Man ,10
어벤져스: 엔드게임,완벽한 마무리. 3000 ,10
어벤져스: 엔드게임,재밌었습니다  사랑해요 ,10
어벤져스: 엔드게임,역시나 어벤져스 재미있게 잘 봤습니다 ,10
어벤져스: 엔드게임,영화지만 지구를지키는 이들이있어서 든든합니다~ ,10
어벤져스: 엔드게임,아직...떠나보낼 준비가 안됐는데.. 그래서 두 번 봐야하는 영화. 마지막답게 아름답고 슬펐던 그리고 재밌었던 ,10
어벤져스: 엔드게임,인피니티워가 10점이라면 엔드게임은 7점. 초중반까지는 지루해요.. ,7
어벤져스: 엔드게임,토르가 멋있고 웃기고 슬프고 귀엽고 능글맞고 다했다 ,10
어벤져스: 엔드게임,제 청춘을 함께해줘서 고마운 영화입니다 ,10
노팅 힐,마음 편안하게 본 영화 줄리아 로버츠와휴그랜트를 다시 스크린으로 볼 수 있어 좋았다 ,10
어벤져스: 엔드게임,잘가요 스티브 로저스 ㅠㅠ ,10
크리드 2,이제 너의 시간이야  말하고 록키 뒷 모습 보여줄 때 소름.. ,10
어벤져스: 엔드게임,완벽한 마무리입니다  정말...꼭보세요 ,10
어벤져스: 엔드게임,치즈버거.. 아임아이언맨.. ,10
어벤져스: 엔드게임,진짜...정말 예술입니다. 벅차오르는 감동! ,10
어벤져스: 엔드게임,아쉽다. 그렇지만 최고다. ,10
어벤져스: 엔드게임,19년도 최고의 영화ㅠㅠ ,10
어벤져스: 엔드게임,감사했고 고마웠다. 3000만큼 사랑합니다! ,10
어벤져스: 엔드게임,진짜 역대급 소름..역시 믿고보는어벤져스 ,10
어벤져스: 엔드게임,7번더볼영화 최고였다 ,10
어벤져스: 엔드게임,아이언맨죽은거 너무슬펐음ㅠㅠ ,10
어벤져스: 엔드게임,아이언맨을 위한 영화다 ,10
어벤져스: 엔드게임,유네스코 세계문화유산에 등재되어야 할 영화 ,10
어벤져스: 엔드게임,패미 묻히고 난리야 ㅌㅂ ,5
어벤져스: 엔드게임,살려내는 방법은 예상대로지만 다른 반전을 숨겨두셨을 줄이야 ,10
어벤져스: 엔드게임,다 필요없고 사랑합니다 ,10
계춘할망,할마이~ ㅋㅋㅋ 봐야겠네요~ ,8
어벤져스: 엔드게임,굿♡ 이런 영화가 또 올까싶네요~ ,10
어벤져스: 엔드게임,토르한테 야채좀 먹어할때 개뿜었넼ㅋㅋㅋㅋ ,10
어벤져스: 엔드게임,아이언맨으로 시작해서 아이언맨으로 끝나는 영화 ! 3시간동안 웃기고 울리고 찡하게만들었다 .  3000만큼 사랑해 ,10
어벤져스: 엔드게임,마무리를 어찌 할지 무척 궁금했는데..생각보다 더 좋아요~ 잘 봤습니다!!캡틴마블의 활약은 생각보다 무척 적네요.. ,10
어벤져스: 엔드게임,나의 영웅들..사랑해요..사랑합니다...많이요. ,10
생일,"감정이입이되어서 울었더니,,,,머리가 띵하네. 연기도 좋고, 내용은 감정을 잘 다룬듯....위로를 위한 영화~ ",9
어벤져스: 엔드게임,세시간중에 두시간을 울면서 봄. 한명한명 다 너무 좋고 웃기고 슬픔 ,10
아이 엠 마더,완전 시원한액션 통쾌하다 ,10
어벤져스: 엔드게임,인생영화 3시간이 2시간 같이 느껴지는 좋은 영화 ,8
어벤져스: 엔드게임,3000만큼 어셈블 좋아요 ,10
어벤져스: 엔드게임,재밋음  공백 10자를 채우자 ,10
돈,뻔한  스토리 뻔한 결말 ~~ ,7
어벤져스: 엔드게임,진짜 시리즈를 다본사람만이 이 감동을 느낄수가있다. 러닝타임 3시간이 전혀 지루하지않고 매 장면장면이 모두 명장면이다. 어제 한번 봤으니까 이제 세번만 더봐야지 ,10
어벤져스: 엔드게임,기저귀착용하구 관람하세여... ,10
텔 미 썸딩,그당시 상당히 충격적이었다.지금 보아도 재미있다. ,9
어벤져스: 엔드게임,블랙위도우를 죽이다니 ㅠㅠㅗ ,4
슬램,무결점역대급원탑영화감동재미완성도세마리토끼를잡았다캡짱초대만족 ,10
어벤져스: 엔드게임,이건뭐 말이필요없음ㅜ무조건봐야죠 ,10
어벤져스: 엔드게임,캡틴마블  너무 멋져 최고 ㅠ ㅇ ㅜ ,10
어벤져스: 엔드게임,마블의 역사 가운데 서 있어서 행복했다 ,10
어벤져스: 엔드게임,무슨드래곤볼인가 ㅋㅋ구슬모아서 죽은친구들살려주세요하며뉴살아나고 ㅋㅋㅋ ,1
어벤져스: 엔드게임,시간 가는줄 모름 눈물이 주룩주룩 ,10
어벤져스: 엔드게임,엄청 재미있었어요. 3000만큼 ㅋㅋㅋ ,10
어벤져스: 엔드게임,감동적이고 화려한 영화 굿 어벤져스~!! ,10
어벤져스: 엔드게임,이모만큼 고모만큼 말고 삼촌만큼 사랑해 ㅠㅠ삼촌 만세!! ,10
뽀로로 극장판 보물섬 대모험,마블을 막을 유일한 영화 ,10
어벤져스: 엔드게임,와...마블 사랑합니다.♡♡영화가 너무 역대급으로 와....근데 좀 아쉬운게 좀 남았지만(스포하면 큰일나기 때무네..) ,9
어벤져스: 엔드게임,Farewell avengers ,10
어벤져스: 엔드게임,그동안 너무 즐거웠습니다 ,10
어벤져스: 엔드게임,역시 믿고 보는 마블 감동적입니다 ,10
어벤져스: 엔드게임,진짜너뮤재밋엇습니가아앙 ,9
뽀로로 극장판 보물섬 대모험,아이들하고 재미나게 봤네요 역시 뽀로로 내요 ,9
어벤져스: 엔드게임,더이상할말이없다 마블이 마블했다 ,10
어벤져스: 엔드게임,더이상할말이없다 마블이 마블했다 ,10
어벤져스: 엔드게임,개쩐다및힌!!!!하 ,10
어벤져스: 엔드게임,그동안 본 마블 시리즈  보상 받는 기분입니다 깨알 같은 재미와 감동! 어벤져스 어셈블! ,10
어벤져스: 엔드게임,재미있게 잘 봤습니다. ,10
어벤져스: 엔드게임,먼지가 되어~ 날아가~~ ,10
어벤져스: 엔드게임,두번째보고오눈중....굳 ,10
어벤져스: 엔드게임,아이언맨 1에서 마블을 알게 되고 10년간을 내 인생에서 감동과 재미를 주던 마블이 한텀이 끝난 기분입니다. 지금까지 10년의 마무리와 앞으로의 10년을 준비하는 영화였습니다 행복했어요. 아이언맨 당신은 극중 인물이지만 내 인생 최고의 캐릭터입니다 ,10
어벤져스: 엔드게임,3000=치즈버거 값 ,10
어벤져스: 엔드게임,옆에 아저씨 초반부터 졸고 난 1시간 남짓 보다 나왔음. 보다가 나온 최초의 영화. 그냥 전편에서 끝내야 했다.  쯧.. ,1
우상,아무 생각없는 영화.. ,1
어벤져스: 엔드게임,그동안 MCU의 발자취를 함께 따라온 사람이라면 10점을 줄 수밖에 없다 ,10
어벤져스: 엔드게임,사랑해요 고마워요 아쉬워요 ,10
어벤져스: 엔드게임,어벤져스보면서 울줄몰랐다 ,10
어벤져스: 엔드게임,진짜 3000만큼 사랑해 최고야 ,10
어벤져스: 엔드게임,아 진짜ㅠㅠㅠㅠ 인생영화 너무 재밌게봄 ㅜㅜㅜ ,10
어벤져스: 엔드게임,3시간이라 길줄 알았는데 순삭! ,10
어벤져스: 엔드게임,1시간도 안 자고 조조로 가서 봤다.안 봤으면 크게 후회할뻔했다.잘가요 나의 영웅들 ,10
어벤져스: 엔드게임,로다주에 보답하는 영화 ,10
어벤져스: 엔드게임,아무리봐도 지겹지가 않다 ,10
미스 리틀 선샤인,웃기고 밝은 힐링영화 같았는데 막상 보니 그건 아니였지만 그래도 좋은 가족영화였음. 올리브 넘 귀엽 ,8
어벤져스: 엔드게임,와정말재미있어요우오아아아어엉 ,10
어벤져스: 엔드게임,마블팬에게 보답하는 영화 ,10
노무현과 바보들,김제동이 맘에 안들어서 1점 ,1
어벤져스: 엔드게임,너무나도 재미있게 봤어요. ,10
어벤져스: 엔드게임,미친 영화다. 공들여 만들었다는게 너무너무 잘 묻어난다. ,10
어벤져스: 엔드게임,말이 필요없다 내가 히어로물을 보고 울줄이야 ,10
어벤져스: 엔드게임,토니 사랑해요 수고했어요 ,10
어벤져스: 엔드게임,3000만큼 사랑해 ㅠㅠ ,10
어린 신부,똥양남들 와꾸몸매는 전세계가알아주지개도안먹는다는 도태상폐남 얼굴에봉지씌우고다녀라ㅋㅋㅋ나라망신이다 ,1
계춘할망,김고은 암세포역할을 자주맡는거보면 공감대가있는건가 ,1
어벤져스: 엔드게임,스토리 감안해도 2시간 가량 지루하네요.. 많은 히어로 출연료로 제작비 다 소모한 듯.. 기대많이 했는데..개인적으로 넘 재미없게 봤네요.. ,1
헬보이,평점에 재밋다는사람있어서 봣다가..정말 재미없는영화잔인하기는 한데 내용은 뻔~~하고 마지막 피의여왕? 말만그럴듯하게 강해보이게 만들었는데 막상 끝은 허무하게 죽는다는 ㅋㅋㅋ 보지마셈 ,1
어벤져스: 엔드게임,토르팬들 엿먹이는 영화 ,1
어벤져스: 엔드게임,"3,000만큼 재밌었음 ",10
생일,정치적 의도와 악취가 나는 감성팔이 정치영화 ,2
어벤져스: 엔드게임,시리즈 시작과 끝은 한문장으로 요약된다.아임 아이언맨 ,10
어벤져스: 엔드게임,"여운이 ∞ 끝이없다,, ",10
어벤져스: 엔드게임,엉엉 ㅠㅠㅠ최고 ㅠㅠㅠ ,10
어벤져스: 엔드게임,생각보다 많이 길어지만  그만큼 재미있게 봤습니다 ,10
어벤져스: 엔드게임,인생 영화   보시는 분들이 스포 안당하시고 봤으면 좋겠어요 ,10
어벤져스: 엔드게임,재미있어요 재미있어요 ,6
어벤져스: 엔드게임,정말 재미었다ㅋㅋㅋㅋ ,10
어벤져스: 엔드게임,역대급 마블 영화라 해도 손색이 없을정도 지난 11년을 3시간만에 돌아보는 느낌 ,10
어벤져스: 엔드게임,재밌었습니다 재밌었습니다 ,10
어벤져스: 엔드게임,왜 10점까지밖에 못줘요 3000점 주고싶은데 ,10
어벤져스: 엔드게임,잊지못할 영화입니다낭 ,10
어벤져스: 엔드게임,마블영화는 재미없어서 못보겠던데   무조건 착한편 나쁜편 나눠서 착한편 이기는게 뭔 재미가 있냐?   서사가 없다. ,3
어벤져스: 엔드게임,마지막을 멋있게 장식하네요 ,10
어벤져스: 엔드게임,3시간이 아깝지않다!!!! ,10
어벤져스: 엔드게임,해리포터를 극장에서 마지막으로 봤을 때의 감정과도 같은 뭉클함...다신 못 볼 히어로들의 모습에 먹먹했다 ,10
어벤져스: 엔드게임,영화 늦게 볼 수밖에 없는사람들을 생각해서 스포 자제해주세요ㅠㅠㅠ ,2
어벤져스: 엔드게임,대부분의 어벤저스 원년멤버의 납득가는 마무리였다고 생각함. 딱 한 캐릭터 빼고. ,6
노무현과 바보들,박스오피스 1위하자는 의미로 1점 드립니당 ㅇㅅㅇ ,1
어벤져스: 엔드게임,어벤져스 3000만큼 사랑했었다. ,10
